,PTS,AST,REB,STL,BLK
Russell Westbrook,24.64100000000001,7.667999999999996,7.583999999999998,1.3929999999999996,0.5990000000000003
James Harden,24.783999999999992,7.850999999999999,7.969999999999995,1.3989999999999996,0.6650000000000001
LeBron James,26.915999999999986,8.492999999999999,8.529000000000002,1.4080000000000015,0.7539999999999999
Anthony Davis,26.980999999999977,7.917999999999998,10.030999999999988,1.4989999999999992,1.0219999999999998
DeMarcus Cousins,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Stephen Curry,25.225000000000026,7.846999999999998,7.713000000000001,1.4089999999999996,0.6300000000000003
LaMarcus Aldridge,24.868000000000006,7.341999999999995,8.27999999999999,1.339,0.7500000000000003
Blake Griffin,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Kyrie Irving,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Klay Thompson,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Dwyane Wade,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Rudy Gay,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Damian Lillard,24.341000000000008,7.718,7.664000000000001,1.3969999999999996,0.56
DeMar DeRozan,24.700000000000003,7.477999999999995,7.750999999999996,1.3759999999999994,0.6600000000000006
Jimmy Butler,24.221000000000007,7.692999999999997,7.5070000000000014,1.4279999999999995,0.515
Nikola Vucevic,25.326999999999998,7.405999999999997,9.25699999999999,1.2649999999999992,0.9119999999999997
Gordon Hayward,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Chris Paul,24.32100000000001,7.803,7.537000000000001,1.4129999999999994,0.525
Monta Ellis,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Pau Gasol,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Victor Oladipo,24.221000000000007,7.692999999999997,7.5070000000000014,1.4279999999999995,0.515
Kyle Lowry,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
John Wall,25.895,8.350000000000001,7.792999999999999,1.4939999999999996,0.7110000000000002
Marc Gasol,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Kemba Walker,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Dirk Nowitzki,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Brook Lopez,24.817000000000004,7.4009999999999945,8.137999999999995,1.360999999999999,0.7530000000000002
Tobias Harris,24.62500000000001,7.5559999999999965,7.859999999999997,1.3560000000000003,0.6160000000000002
Eric Bledsoe,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Brandon Knight,24.21100000000001,7.590999999999997,7.428000000000002,1.4489999999999994,0.515
Andrew Wiggins,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Paul Millsap,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Al Jefferson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Tyreke Evans,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kawhi Leonard,24.724000000000004,7.454999999999993,7.443999999999999,1.4529999999999987,0.6620000000000005
Isaiah Thomas,24.34100000000001,7.718,7.664000000000001,1.3969999999999996,0.5600000000000002
Kevin Love,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
JJ Redick,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Goran Dragic,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Zach Randolph,24.30900000000001,7.6659999999999995,7.774000000000001,1.3849999999999993,0.58
Derrick Favors,24.785000000000004,7.486999999999995,7.902999999999996,1.366999999999999,0.7120000000000004
Wesley Matthews,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jeff Teague,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Greg Monroe,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Mike Conley,24.21100000000001,7.590999999999997,7.428000000000002,1.4489999999999994,0.515
Jamal Crawford,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Chandler Parsons,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Lou Williams,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Enes Freedom,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Markieff Morris,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Bradley Beal,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Ty Lawson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Al Horford,24.765000000000004,7.438999999999994,8.040999999999993,1.348,0.6990000000000001
Jeff Green,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Michael Carter-Williams,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Reggie Jackson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Joe Johnson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Tony Parker,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Serge Ibaka,25.021000000000008,7.732999999999999,8.50799999999999,1.3350000000000002,0.7749999999999999
Mo Williams,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Thaddeus Young,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Luol Deng,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Wilson Chandler,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Avery Bradley,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Tim Duncan,24.817000000000004,7.4009999999999945,8.137999999999995,1.360999999999999,0.7530000000000002
Andre Drummond,25.195000000000007,7.5980000000000025,8.684999999999995,1.3349999999999995,0.8079999999999995
Ryan Anderson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Robert Covington,24.776000000000003,7.360999999999995,7.754999999999998,1.4339999999999988,0.7000000000000003
CJ Miles,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Eric Gordon,24.641000000000005,7.597999999999995,7.461999999999998,1.4129999999999996,0.5750000000000004
Khris Middleton,25.07700000000001,7.540000000000001,8.84899999999999,1.3239999999999992,0.8449999999999995
Jared Sullinger,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Arron Afflalo,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Deron Williams,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Trey Burke,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Trevor Ariza,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kentavious Caldwell-Pope,24.21100000000001,7.590999999999997,7.428000000000002,1.4489999999999994,0.515
Giannis Antetokounmpo,29.122999999999962,8.296,10.586999999999984,1.5669999999999995,1.035999999999999
Rodney Stuckey,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
DeMarre Carroll,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kenneth Faried,24.783000000000005,7.551999999999996,7.819999999999994,1.3580000000000003,0.6500000000000006
Danilo Gallinari,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Josh Smith,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Marcin Gortat,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kyle Korver,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Ben McLemore,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Gerald Henderson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
JR Smith,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Donatas Motiejunas,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jonas Valanciunas,25.314999999999994,7.632000000000001,9.22299999999999,1.2979999999999996,0.8569999999999993
Evan Fournier,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jordan Hill,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jarrett Jack,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Gerald Green,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jordan Clarkson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Paul Pierce,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Carlos Boozer,24.30900000000001,7.629999999999998,7.8580000000000005,1.3730000000000002,0.574
Dion Waiters,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Danny Green,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Draymond Green,24.775000000000006,7.362999999999996,7.788999999999998,1.4080000000000001,0.6530000000000002
David West,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Aaron Brooks,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
DeAndre Jordan,24.868000000000006,7.341999999999995,8.27999999999999,1.339,0.7500000000000003
Ersan Ilyasova,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Amar'e Stoudemire,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Tim Hardaway Jr.,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Corey Brewer,24.789,7.5869999999999935,7.686999999999996,1.3939999999999992,0.6630000000000004
O.J. Mayo,24.309000000000005,7.744999999999999,7.635000000000002,1.4019999999999992,0.549
Jeremy Lin,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jodie Meeks,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Nene,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Anthony Morrow,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Brandon Bass,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Roy Hibbert,24.817000000000004,7.4009999999999945,8.137999999999995,1.360999999999999,0.7530000000000002
Manu Ginobili,24.21100000000001,7.590999999999997,7.428000000000002,1.4489999999999994,0.515
Marcus Morris Sr.,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Marreese Speights,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Taj Gibson,24.763000000000005,7.362999999999995,7.834999999999997,1.403,0.68
Tyson Chandler,25.16300000000001,7.7070000000000025,8.565999999999997,1.3379999999999996,0.7929999999999996
Kelly Olynyk,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Mario Chalmers,24.309000000000005,7.744999999999999,7.635000000000002,1.4019999999999992,0.549
Nikola Mirotic,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Tyler Zeller,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Zach LaVine,24.757000000000016,7.5399999999999965,7.735999999999998,1.368999999999999,0.6590000000000003
Courtney Lee,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Harrison Barnes,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Matt Barnes,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Wayne Ellington,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Dennis Schroder,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Nerlens Noel,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Wesley Johnson,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Luc Mbah a Moute,24.309000000000005,7.744999999999999,7.635000000000002,1.4019999999999992,0.549
Terrence Ross,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Gorgui Dieng,24.785000000000004,7.486999999999995,7.902999999999996,1.366999999999999,0.7120000000000004
Timofey Mozgov,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Robin Lopez,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Evan Turner,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
D.J. Augustin,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Greivis Vasquez,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Mike Dunleavy,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Luis Scola,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Nicolas Batum,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Amir Johnson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Marco Belinelli,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
P.J. Tucker,24.309000000000005,7.744999999999999,7.635000000000002,1.4019999999999992,0.549
Bojan Bogdanovic,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Rajon Rondo,24.21100000000001,7.590999999999997,7.428000000000002,1.4489999999999994,0.515
Elfrid Payton,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Solomon Hill,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Omri Casspi,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Hollis Thompson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Devin Harris,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Mason Plumlee,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Boris Diaw,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Chris Kaman,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Tony Allen,24.123,7.632999999999997,7.366000000000003,1.4629999999999992,0.5089999999999999
Tristan Thompson,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Rudy Gobert,25.155,7.234999999999998,9.357999999999988,1.2619999999999991,0.9609999999999994
Derrick Williams,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Ed Davis,24.89400000000001,7.848000000000005,8.492999999999997,1.3449999999999995,0.7379999999999995
Jameer Nelson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Zaza Pachulia,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Lance Stephenson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Henry Sims,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Iman Shumpert,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jason Smith,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Patrick Patterson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kris Humphries,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
James Johnson,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
KJ McDaniels,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Andre Iguodala,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Marcus Smart,24.221000000000007,7.692999999999997,7.5070000000000014,1.4279999999999995,0.515
Mike Scott,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jerryd Bayless,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Rasual Butler,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Steven Adams,25.132,7.333999999999998,9.07899999999999,1.2809999999999995,0.9039999999999996
Jae Crowder,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Beno Udrih,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Norris Cole,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Cody Zeller,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
JJ Hickson,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
J.J. Barea,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Tayshaun Prince,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Marvin Williams,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Ray McCallum,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Alan Anderson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Omer Asik,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Channing Frye,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Brandan Wright,24.817000000000004,7.4009999999999945,8.137999999999995,1.360999999999999,0.7530000000000002
Joakim Noah,25.612999999999992,7.34,9.574999999999987,1.3699999999999994,1.000999999999999
Jared Dudley,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Carl Landry,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Trevor Booker,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Quincy Pondexter,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Lance Thomas,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Leandro Barbosa,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jason Terry,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
John Henson,24.797000000000004,7.358999999999994,8.261999999999992,1.3439999999999999,0.7410000000000001
Austin Rivers,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jusuf Nurkic,25.25,7.5680000000000005,8.531999999999996,1.4299999999999997,0.8169999999999996
Will Barton,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
CJ McCollum,24.852000000000004,7.500999999999993,7.422,1.4709999999999988,0.6520000000000005
Chase Budinger,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Cory Joseph,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Brian Roberts,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Darrell Arthur,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Aron Baynes,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kevin Seraphin,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Alexis Ajinca,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Anthony Tolliver,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jerami Grant,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Andrew Bogut,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Charlie Villanueva,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Ramon Sessions,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Alex Len,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Shane Larkin,24.309000000000005,7.744999999999999,7.635000000000002,1.4019999999999992,0.549
Jason Thompson,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Tony Snell,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Tarik Black,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Otto Porter Jr.,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kyle Singler,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jonas Jerebko,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Shaun Livingston,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Caron Butler,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Quincy Acy,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Richard Jefferson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Spencer Hawes,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Vince Carter,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kirk Hinrich,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Pero Antic,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Al-Farouq Aminu,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Cole Aldrich,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Shawne Williams,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Chris Andersen,25.027000000000015,7.873999999999999,8.196999999999994,1.3130000000000006,0.6970000000000002
JaKarr Sampson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kent Bazemore,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Kosta Koufos,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Dante Cunningham,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
James Ennis III,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Joe Ingles,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Lavoy Allen,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Dante Exum,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Matthew Dellavedova,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Bismack Biyombo,24.817000000000004,7.4009999999999945,8.137999999999995,1.360999999999999,0.7530000000000002
Damjan Rudez,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Robert Sacre,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Jon Leuer,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Andre Miller,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Nik Stauskas,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Ian Mahinmi,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Steve Blake,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Justin Holiday,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Udonis Haslem,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Nick Calathes,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Nick Collison,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Pablo Prigioni,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Luke Babbitt,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Miles Plumlee,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Glen Davis,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
